scope,arm,arm_type,capacity_surcharge_divisor,broker_count,comparator_arm,data_source,k,metric,n_seeds,paired_mean_pct_change,pct_point_diff_mono_minus_comparator,paired_mean_diff_raw,paired_dz,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,n_favorable_of_n_seeds,total_deferred_kwh_capacity_both_mean,total_deferred_kwh_capacity_disabled_mean,comparator_total_deferred_kwh_capacity_both_mean,deferred_volume_ratio_mono_over_comparator,correction_family,correction_family_size,metric3_sign_convention,notes
arm_vs_own_baseline_peak_only_alternative,mono_divisor_2,monopoly_dose_matched,2.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_peak_to_average_ratio,30,0.5750306740865732,,0.020114368662305464,0.14675109464269803,0.4280587481820828,1.0,0.4994018728790966,False,False,-0.03106636504061273,0.07129510236522366,-0.024622786687272524,0.07191832465267571,21,49941.44911896594,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_2,monopoly_dose_matched,2.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_coefficient_of_variation,30,-6.78924012224068,,-0.04617560153027901,-26.961870414074035,2.8422465170299172e-43,5.4002683823568426e-42,7.234809316076154e-43,True,True,-0.046815106605969256,-0.04553609645458877,-0.04680710710705711,-0.04558342420366886,30,49941.44911896594,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_3,monopoly_dose_matched,3.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_peak_to_average_ratio,30,-10.157043244967477,,-0.35740576579323646,-7.235044971708604,8.283226842156679e-27,7.454904157941011e-26,1.159651757901935e-26,True,True,-0.3758517473706538,-0.3389597842158191,-0.3746451827929599,-0.3395913392569125,30,54501.46974420095,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_3,monopoly_dose_matched,3.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_peak_to_average_ratio,30,-10.157043244967477,,-0.35740576579323646,-7.235044971708604,8.283226842156679e-27,7.454904157941011e-26,1.9327529298365584e-26,True,True,-0.3758517473706538,-0.3389597842158191,-0.3746238745245064,-0.33986769223972024,30,54501.46974420095,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_3,monopoly_dose_matched,3.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_coefficient_of_variation,30,-13.839103817286517,,-0.09413334321050662,-79.30175364589418,7.470901993468069e-57,1.942434518301698e-55,6.972841860570198e-56,True,True,-0.09457658647326364,-0.0936900999477496,-0.09454925652696262,-0.09371357794998092,30,54501.46974420095,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_3,monopoly_dose_matched,3.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_peak_to_average_ratio,30,-10.125437084178653,,-0.356297472599112,-7.418226978576432,4.061480596233534e-27,4.8737767154802403e-26,6.689497452619938e-27,True,True,-0.3742321708988721,-0.33836277429935185,-0.3727316343936278,-0.33910576068392967,30,36030.079553290736,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_3,monopoly_dose_matched,3.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_peak_to_average_ratio,30,-10.125437084178653,,-0.356297472599112,-7.418226978576432,4.061480596233534e-27,4.8737767154802403e-26,1.3866349473505698e-26,True,True,-0.3742321708988721,-0.33836277429935185,-0.37310953398034624,-0.3392319048760452,30,36030.079553290736,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_3,monopoly_dose_matched,3.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_coefficient_of_variation,30,-6.576290958551778,,-0.0447212366894931,-50.701782057266286,3.202919139738786e-51,7.0464221074253295e-50,1.2811676558955144e-50,True,True,-0.04505059758265474,-0.044391875796331456,-0.04503691806341174,-0.04441946114769777,30,36030.079553290736,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_5,monopoly_dose_matched,5.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_peak_to_average_ratio,30,-7.933173612383834,,-0.2790748552422507,-24.108673570916935,7.250324666222564e-42,1.1555980259758304e-40,1.4500649332445128e-41,True,True,-0.2833972939386726,-0.27475241654582877,-0.2817877372927043,-0.27450439369933816,30,32658.33480540711,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_5,monopoly_dose_matched,5.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_peak_to_average_ratio,30,-7.933173612383834,,-0.2790748552422507,-24.108673570916935,7.250324666222564e-42,1.0111482727288515e-40,5.075227266355794e-41,True,True,-0.2833972939386726,-0.27475241654582877,-0.2817815951272298,-0.27454590605012025,30,32658.33480540711,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_5,monopoly_dose_matched,5.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_coefficient_of_variation,30,-9.020823784339102,,-0.06135886508210733,-96.16806318853874,2.7859832282575538e-59,7.80075303912115e-58,7.80075303912115e-58,True,True,-0.061597112333913295,-0.06112061783030137,-0.06158905978713509,-0.06113359999489289,30,32658.33480540711,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_5,monopoly_dose_matched,5.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_peak_to_average_ratio,30,-7.942038824846493,,-0.27938683626382416,-24.11187690743931,7.22248766234894e-42,1.1555980259758304e-40,1.4500649332445128e-41,True,True,-0.28371353217351314,-0.2750601403541352,-0.2821124704692227,-0.274796358453337,30,21208.91829014279,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_5,monopoly_dose_matched,5.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_peak_to_average_ratio,30,-7.942038824846493,,-0.27938683626382416,-24.11187690743931,7.22248766234894e-42,1.0111482727288515e-40,5.075227266355794e-41,True,True,-0.28371353217351314,-0.2750601403541352,-0.2821136592446434,-0.2747838560323026,30,21208.91829014279,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_5,monopoly_dose_matched,5.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_coefficient_of_variation,30,-4.365307511411422,,-0.029688106084566682,-83.87075730570328,1.4722002352927644e-57,3.974940635290464e-56,2.06108032940987e-56,True,True,-0.02982028232044227,-0.029555929848691095,-0.029810998684442307,-0.029562408241366384,30,21208.91829014279,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,bc_2,competitive,,2,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,-5.24769109027541,,-0.18406423544037206,-1.0599393421755359,2.7190760198856838e-06,1.359538009942842e-05,3.172255356533298e-06,True,True,-0.24890824333430703,-0.1192202275464371,-0.24387256909515453,-0.12314717845873313,24,75686.40065010078,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,bc_2,competitive,,2,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,-5.24769109027541,,-0.18406423544037206,-1.0599393421755359,2.7190760198856838e-06,1.359538009942842e-05,3.8067064278399573e-06,True,True,-0.24890824333430703,-0.1192202275464371,-0.24532635757863244,-0.12339297179993824,24,75686.40065010078,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,bc_2,competitive,,2,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_coefficient_of_variation,30,-16.521538219913076,,-0.11198576860880662,-71.16089693552811,1.727215175204622e-55,4.318037938011555e-54,1.134448793869867e-54,True,True,-0.11257339713836248,-0.11139814007925075,-0.11254373658388693,-0.11143841476823861,30,75686.40065010078,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,bc_2,competitive,,2,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_peak_to_average_ratio,30,-5.49407452181997,,-0.1926798846947457,-1.9298861051465657,1.847269666872416e-11,1.1083618001234497e-10,2.2488500292359848e-11,True,True,-0.2299607642155592,-0.1553990051739322,-0.2266820870214054,-0.15646062699089003,29,47967.809003472044,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,bc_2,competitive,,2,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_peak_to_average_ratio,30,-5.49407452181997,,-0.1926798846947457,-1.9298861051465657,1.847269666872416e-11,1.1083618001234497e-10,2.873530592912647e-11,True,True,-0.2299607642155592,-0.1553990051739322,-0.22683622935615444,-0.1559139977894633,29,47967.809003472044,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,bc_2,competitive,,2,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_coefficient_of_variation,30,-7.354911658512124,,-0.04980886142068129,-16.853950593434334,2.28274367840728e-37,2.967566781929464e-36,3.9948014372127395e-37,True,True,-0.05091239702299056,-0.048705325818372024,-0.05085970230925649,-0.04876257467286853,30,47967.809003472044,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,bc_3,competitive,,3,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,-9.512350011519954,,-0.33427656778848225,-4.0194396628735065,1.1982521297879412e-19,8.387764908515588e-19,1.5250481651846524e-19,True,True,-0.3653308769101222,-0.30322225866684227,-0.3612796644745535,-0.3037460577660507,30,58602.22566287547,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,bc_3,competitive,,3,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,-9.512350011519954,,-0.33427656778848225,-4.0194396628735065,1.1982521297879412e-19,8.387764908515588e-19,2.096941227128897e-19,True,True,-0.3653308769101222,-0.30322225866684227,-0.3619727858918927,-0.3036139793898158,30,58602.22566287547,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,bc_3,competitive,,3,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_coefficient_of_variation,30,-14.81744883810366,,-0.10042264425592046,-35.72345087653066,8.189313387962926e-47,1.6378626775925852e-45,2.5477863873662434e-46,True,True,-0.10147233096631807,-0.09937295754552285,-0.10139452099528865,-0.09942361621497989,30,58602.22566287547,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,bc_3,competitive,,3,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_peak_to_average_ratio,30,-9.838330616963411,,-0.3458248233405768,-5.5833613814211365,1.2806412764261616e-23,1.0245130211409293e-22,1.707521701901549e-23,True,True,-0.3689530255931397,-0.3226966210880139,-0.36794600053007376,-0.3248763866477227,30,38821.852828800955,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,bc_3,competitive,,3,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_peak_to_average_ratio,30,-9.838330616963411,,-0.3458248233405768,-5.5833613814211365,1.2806412764261616e-23,1.0245130211409293e-22,2.5612825528523232e-23,True,True,-0.3689530255931397,-0.3226966210880139,-0.367998527266296,-0.32379621689650884,30,38821.852828800955,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,bc_3,competitive,,3,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_coefficient_of_variation,30,-7.218444993219411,,-0.0488953835258095,-22.24639495148878,7.431718354126906e-41,1.0404405695777668e-39,1.3872540927703558e-40,True,True,-0.049716093411950234,-0.04807467363966877,-0.04968021242224502,-0.04811632413221435,30,38821.852828800955,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,bc_5,competitive,,5,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,-9.988238621330645,,-0.35106034039538764,-7.3668133036549515,4.9522676691091774e-27,5.253713989685953e-26,7.298078670266156e-27,True,True,-0.3688547489235619,-0.33326593186721337,-0.36731113480820965,-0.3345471504254992,30,57839.13418913304,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,bc_5,competitive,,5,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,-9.988238621330645,,-0.35106034039538764,-7.3668133036549515,4.9522676691091774e-27,5.253713989685953e-26,1.3866349473505698e-26,True,True,-0.3688547489235619,-0.33326593186721337,-0.36795271666635404,-0.33408219102784925,30,57839.13418913304,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,bc_5,competitive,,5,,"sweep_raw.parquet (reused, not re-run)",0.5,feeder_coefficient_of_variation,30,-14.644902856273198,,-0.09918211834309014,-37.91892853877188,1.454083274563217e-47,3.0535748765827554e-46,5.089291460971259e-47,True,True,-0.10015881291419622,-0.09820542377198406,-0.10016282726516895,-0.09831715369917604,30,57839.13418913304,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,bc_5,competitive,,5,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_peak_to_average_ratio,30,-10.001254047437907,,-0.35151716532365884,-7.376178594847745,4.77610362698723e-27,5.253713989685953e-26,7.298078670266156e-27,True,True,-0.36931210683976445,-0.33372222380755323,-0.36804370948734927,-0.3349972724153617,30,38422.81013666537,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,bc_5,competitive,,5,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_peak_to_average_ratio,30,-10.001254047437907,,-0.35151716532365884,-7.376178594847745,4.77610362698723e-27,5.253713989685953e-26,1.3866349473505698e-26,True,True,-0.36931210683976445,-0.33372222380755323,-0.3681199203106032,-0.3349101569455984,30,38422.81013666537,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,bc_5,competitive,,5,,"sweep_raw.parquet (reused, not re-run)",1.0,feeder_coefficient_of_variation,30,-7.1485323746789176,,-0.048393715691592204,-25.12591387018377,2.1910500144425977e-42,3.724785024552416e-41,5.1124500336993945e-42,True,True,-0.049112913827553784,-0.047674517555630624,-0.04908632389238728,-0.047719591926338054,30,38422.81013666537,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
decisive_contrast,mono_divisor_3_minus_bc_3,monopoly_vs_competitive_contrast,3.0,3,bc_3,"sweep_dose_matched_monopoly.parquet vs sweep_raw.parquet (both reused, not re-run)",0.5,feeder_peak_to_average_ratio,30,,-0.6446932334475235,,-0.29259806990853404,0.11985518165741779,0.23971036331483558,0.15980690887655705,False,False,-1.4674341687208845,0.1780477018258375,-1.4479629184093257,0.08609640481101709,18,54501.46974420095,,58602.22566287547,0.9300238877911364,divisor3_vs_bc3_decisive_contrast_secondary,4,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"mono mono_divisor_3 mean -10.157% vs bc_3 mean -9.512%; n_favorable = number of seeds where the monopoly arm's paired pct change beats the comparator's (more negative, i.e. better peak shaving). (DECISIVE: this is D11's own pre-registered test)"
decisive_contrast,mono_divisor_3_minus_bc_3,monopoly_vs_competitive_contrast,3.0,3,bc_3,"sweep_dose_matched_monopoly.parquet vs sweep_raw.parquet (both reused, not re-run)",0.5,feeder_coefficient_of_variation,30,,0.9783450208171403,,1.6072459214372101,1.0946853188871274e-09,4.37874127554851e-09,4.37874127554851e-09,True,True,0.7510493532610643,1.2056406883732163,0.7598192048328849,1.193011167025295,2,54501.46974420095,,58602.22566287547,0.9300238877911364,divisor3_vs_bc3_decisive_contrast_secondary,4,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"mono mono_divisor_3 mean -13.839% vs bc_3 mean -14.817%; n_favorable = number of seeds where the monopoly arm's paired pct change beats the comparator's (more negative, i.e. better peak shaving). (reported alongside for transparency; not part of D11's rule, which is stated in terms of feeder_peak_to_average_ratio only)"
